Model,Parameter,Log2 fold-change
Mixed,Transcription rate,2.6503595264097304
Mixed,Transcription rate,0.2951284746057207
Mixed,Transcription rate,4.274509494414098
Mixed,Transcription rate,1.7150206826138938
Mixed,Transcription rate,4.03550512739965
Mixed,Transcription rate,0.08488341411257015
Mixed,Transcription rate,0.38398012243138036
Mixed,Transcription rate,0.014251987675645032
Mixed,Transcription rate,5.573344140005549
Mixed,Transcription rate,0.4560616303769943
Mixed,Transcription rate,1.9324861610638548
Mixed,Transcription rate,0.04635446296865959
Mixed,Transcription rate,0.3128985553083871
Mixed,Transcription rate,0.5584770432375394
Mixed,Transcription rate,0.40601109704816474
Mixed,Transcription rate,0.7806832049570367
Mixed,Transcription rate,3.1462074136403144
Mixed,Transcription rate,2.256743331097742
Mixed,Transcription rate,0.7613672619249511
Mixed,Transcription rate,0.4881385748601458
Mixed,Transcription rate,3.7516190493750727
Mixed,Transcription rate,0.5029053039020597
Mixed,Transcription rate,1.948667280921584
Mixed,Transcription rate,0.05530041498793782
Mixed,Transcription rate,0.998066753900009
Mixed,Transcription rate,1.0999915110009801
Mixed,Transcription rate,2.710451347013578
Mixed,Transcription rate,0.501397435441601
Mixed,Transcription rate,3.8974565036575197
Mixed,Transcription rate,3.7981266772268865
Mixed,Transcription rate,1.1644841939104982
Mixed,Transcription rate,0.368451305984177
Mixed,Transcription rate,0.6917618113779014
Mixed,Transcription rate,2.639326665849243
Mixed,Transcription rate,0.00942259364121411
Mixed,Transcription rate,1.0247705904603583
Mixed,Transcription rate,5.526346867219343
Mixed,Transcription rate,0.9219278060405534
Mixed,Transcription rate,5.624872597609773
Mixed,Transcription rate,2.969141933502823
Mixed,Transcription rate,0.44191556722084463
Mixed,Transcription rate,2.8778573309991815
Mixed,Transcription rate,1.187957396741375
Mixed,Transcription rate,2.4756636535759764
Mixed,Transcription rate,0.03069308832117543
Mixed,Transcription rate,1.2231933394224601
Mixed,Transcription rate,0.3047849892139356
Mixed,Transcription rate,1.5637151843506945
Mixed,Transcription rate,2.0652994705241023
Mixed,Transcription rate,0.6850571613089316
Mixed,Transcription rate,2.69203351131103
Mixed,Transcription rate,2.1099111950048925
Mixed,Transcription rate,2.671344055999126
Mixed,Transcription rate,1.0247867237711838
Mixed,Transcription rate,0.24325862817457852
Mixed,Transcription rate,0.4034601766777625
Mixed,Transcription rate,0.13835822175364854
Mixed,Transcription rate,1.2563391832253452
Mixed,Transcription rate,5.841488164405895
Mixed,Transcription rate,4.040369719720848
Mixed,Transcription rate,3.7753630112510517
Mixed,Transcription rate,0.7130795324929288
Mixed,Transcription rate,0.6300891672173576
Mixed,Transcription rate,0.19149346659984787
Mixed,Transcription rate,3.3046796265010556
Mixed,Transcription rate,0.26366174120952457
Mixed,Transcription rate,0.03126395532234801
Mixed,Transcription rate,0.22373643451197814
Mixed,Transcription rate,0.9852111679351175
Mixed,Transcription rate,2.228064605570134
Mixed,Transcription rate,0.24929708680616486
Mixed,Transcription rate,0.4639405484748059
Mixed,Transcription rate,2.044206673703088
Mixed,Transcription rate,0.1667129220410057
Mixed,Transcription rate,2.1781747647785408
Mixed,Transcription rate,0.05847206081215472
Mixed,Transcription rate,1.7501770840680864
Mixed,Transcription rate,3.2202081964571927
Mixed,Transcription rate,3.1560525115705422
Mixed,Transcription rate,1.1648180172632476
Mixed,Transcription rate,1.0382074131783898
Mixed,Transcription rate,1.8714954454679886
Mixed,Transcription rate,1.749161699862332
Mixed,Transcription rate,0.01780367857974847
Mixed,Transcription rate,3.135950867989781
Mixed,Transcription rate,1.2336245265163204
Mixed,Transcription rate,0.5753271469789347
Mixed,Transcription rate,0.7889745658197561
Mixed,Transcription rate,0.43590767718501405
Mixed,Transcription rate,2.1077694819227974
Mixed,Transcription rate,1.3637943274079805
Mixed,Transcription rate,0.0003626871967726565
Mixed,Transcription rate,1.3138123224781493
Mixed,Transcription rate,3.356871754345909
Mixed,Transcription rate,5.288246030349799
Mixed,Transcription rate,2.4024915453871474
Mixed,Transcription rate,3.0644866177233916
Mixed,Transcription rate,0.4230332330233799
Mixed,Transcription rate,1.4428787803616148
Mixed,Transcription rate,6.75667699001899
Mixed,Transcription rate,1.7682005564659373
Mixed,Transcription rate,2.572192749334543
Mixed,Transcription rate,1.3756539734177404
