Model,Parameter,Log2 fold-change
Mixed,Transcription rate,2.1215073022207003
Mixed,Transcription rate,0.5753176202758893
Mixed,Transcription rate,0.8026848682412554
Mixed,Transcription rate,1.0615229161292736
Mixed,Transcription rate,1.4938142352223296
Mixed,Transcription rate,3.4980542913614108
Mixed,Transcription rate,0.45170006407398067
Mixed,Transcription rate,0.06037962216398166
Mixed,Transcription rate,0.5118776430793051
Mixed,Transcription rate,1.2582198498883173
Mixed,Transcription rate,0.9972895283251072
Mixed,Transcription rate,0.20799817224882952
Mixed,Transcription rate,2.1040121092785893
Mixed,Transcription rate,3.8873137434875247
Mixed,Transcription rate,0.37351329801960914
Mixed,Transcription rate,0.5768543599989633
Mixed,Transcription rate,0.029429960891382993
Mixed,Transcription rate,0.9391520415908785
Mixed,Transcription rate,1.7784824910256058
Mixed,Transcription rate,0.720423917273083
Mixed,Transcription rate,1.2864299940224146
Mixed,Transcription rate,1.1214656812992354
Mixed,Transcription rate,2.308923129748655
Mixed,Transcription rate,1.5890140060454367
Mixed,Transcription rate,0.4574533459902479
Mixed,Transcription rate,0.007535463365636332
Mixed,Transcription rate,0.0955390606265253
Mixed,Transcription rate,0.8284307666114841
Mixed,Transcription rate,1.2977337310406643
Mixed,Transcription rate,1.2052197738424637
Mixed,Transcription rate,2.3618274306589466
Mixed,Transcription rate,2.3910470244319653
Mixed,Transcription rate,0.9446220450183332
Mixed,Transcription rate,0.4025652919349449
Mixed,Transcription rate,3.5040855225175984
Mixed,Transcription rate,0.8622689802400612
Mixed,Transcription rate,0.7931468191274349
Mixed,Transcription rate,0.22976968819190866
Mixed,Transcription rate,2.0966572451055105
Mixed,Transcription rate,0.45230434082746374
Mixed,Transcription rate,0.2721049464822677
Mixed,Transcription rate,3.533588703780996
Mixed,Transcription rate,0.7863975159955514
Mixed,Transcription rate,1.0603266101158881
Mixed,Transcription rate,0.635620659003178
Mixed,Transcription rate,2.248260702300405
Mixed,Transcription rate,0.30939154995238055
Mixed,Transcription rate,1.3699540630466331
Mixed,Transcription rate,0.9098926445710419
Mixed,Transcription rate,2.626637245736333
Mixed,Transcription rate,3.5959769642652506
Mixed,Transcription rate,1.232454331034532
Mixed,Transcription rate,1.264004855966993
Mixed,Transcription rate,5.9902592127259
Mixed,Transcription rate,0.3909404840660871
Mixed,Transcription rate,0.12996916385282092
Mixed,Transcription rate,0.2012356773391718
Mixed,Transcription rate,0.3444573318456923
Mixed,Transcription rate,1.5154862739201456
Mixed,Transcription rate,0.8388468573930223
Mixed,Transcription rate,3.8806730893675634
Mixed,Transcription rate,2.6773290181726312
Mixed,Transcription rate,1.4288668702257412
Mixed,Transcription rate,2.2132628734375506
Mixed,Transcription rate,0.758555867240623
Mixed,Transcription rate,0.12894153085012483
Mixed,Transcription rate,1.3118104723803639
Mixed,Transcription rate,0.6447612175417946
Mixed,Transcription rate,0.20671238843661252
Mixed,Transcription rate,1.8220718150977846
Mixed,Transcription rate,0.9227716802215536
Mixed,Transcription rate,0.6711893885896196
Mixed,Transcription rate,1.5508468327809528
Mixed,Transcription rate,0.503631289328429
Mixed,Transcription rate,2.6017715792344216
Mixed,Transcription rate,0.09271805495576299
Mixed,Transcription rate,1.9005295829996323
Mixed,Transcription rate,0.23226157210451392
Mixed,Transcription rate,2.917227089587275
Mixed,Transcription rate,2.4008771209081363
Mixed,Transcription rate,2.0776357818373357
Mixed,Transcription rate,3.801802918480973
Mixed,Transcription rate,2.4117916058442845
Mixed,Transcription rate,0.9361194895034826
Mixed,Transcription rate,0.4945788197190797
Mixed,Transcription rate,0.060300092690560636
Mixed,Transcription rate,3.9497607959103753
Mixed,Transcription rate,0.5400686749364535
Mixed,Transcription rate,3.0863828002878466
Mixed,Transcription rate,1.450716198896572
Mixed,Transcription rate,0.2747115982734515
Mixed,Transcription rate,3.368091128374076
Mixed,Transcription rate,0.15412959920086622
Mixed,Transcription rate,0.4194090854873786
Mixed,Transcription rate,1.5982758971926143
Mixed,Transcription rate,0.1601525802851695
Mixed,Transcription rate,2.564776749012032
Mixed,Transcription rate,2.7371656839429637
Mixed,Transcription rate,3.2782135573391975
Mixed,Transcription rate,2.688740704932324
Mixed,Transcription rate,0.4154745167479629
Mixed,Transcription rate,1.8453263836891909
Mixed,Transcription rate,1.5632330279586362
Mixed,Transcription rate,0.27489119450948557
Mixed,Transcription rate,0.8267976056113022
Mixed,Transcription rate,0.03438591631898674
Mixed,Transcription rate,2.764320703841121
Mixed,Transcription rate,0.13630225609576382
Mixed,Transcription rate,0.047735823182347224
Mixed,Transcription rate,0.8435565784569029
Mixed,Transcription rate,0.04171457919845511
Mixed,Transcription rate,0.8520919393343909
Mixed,Transcription rate,5.689862289370404
Mixed,Transcription rate,0.028264900220188655
Mixed,Transcription rate,0.1568930226702936
Mixed,Transcription rate,0.5727127750408371
Mixed,Transcription rate,0.04794478136777325
Mixed,Transcription rate,0.054057768218790755
Mixed,Transcription rate,1.4625046612846961
Mixed,Transcription rate,2.7113321871306075
Mixed,Transcription rate,1.2537324789552016
Mixed,Transcription rate,0.4641010671510357
Mixed,Transcription rate,1.160571084594292
Mixed,Transcription rate,1.8872856767758193
Mixed,Transcription rate,0.24783571696852924
Mixed,Transcription rate,0.37765441559893237
Mixed,Transcription rate,0.010045224019809278
Mixed,Transcription rate,0.4395194305800255
Mixed,Transcription rate,3.0107957730174433
Mixed,Transcription rate,0.8393202533433934
Mixed,Transcription rate,2.0764776398495357
Mixed,Transcription rate,2.5196083919698515
Mixed,Transcription rate,0.6347154079083686
Mixed,Transcription rate,2.519031894060975
Mixed,Transcription rate,0.7836067008536245
Mixed,Transcription rate,0.9288738623939333
Mixed,Transcription rate,0.6174345473294063
Mixed,Transcription rate,0.6276342589750517
Mixed,Transcription rate,0.7798353589389997
Mixed,Transcription rate,0.30958983869596823
Mixed,Transcription rate,2.482533235927809
Mixed,Transcription rate,2.7190908629566195
Mixed,Transcription rate,2.4320436930109155
Mixed,Transcription rate,2.5809950736758123
Mixed,Transcription rate,0.3818746471642499
Mixed,Transcription rate,0.04797799381329342
Mixed,Transcription rate,0.053789863731068976
Mixed,Transcription rate,0.8977167243321509
Mixed,Transcription rate,0.8389087590256173
Mixed,Transcription rate,3.6632310279180538
Mixed,Transcription rate,0.07084020323861008
Mixed,Transcription rate,0.062275855758760365
Mixed,Transcription rate,2.7615321657321483
Mixed,Transcription rate,2.661717088108478
Mixed,Transcription rate,0.9592961698395654
Mixed,Transcription rate,0.6170125732286831
Mixed,Transcription rate,0.18841270144759573
Mixed,Transcription rate,0.8264691742980131
