Model,Comparison,Property,Run,Mut_alpha,KS stats,KS p-value
ADS,All duplicates,Protein abundance,Bm1,-0.01,-0.09143928280358597,0.0064666857038693
ADS,All duplicates,Protein abundance,Bm1,0.0,-0.08971923390383045,0.008154739369234101
ADS,All duplicates,Protein abundance,Bm10,-0.35,-0.09349959250203743,0.004910422861643834
ADS,All duplicates,Protein abundance,Bm10,-0.25,-0.0925745721271393,0.006236331310186433
ADS,All duplicates,Protein abundance,Bm10,-0.175,-0.08703219233903826,0.014110075432336533
ADS,All duplicates,Protein abundance,Bm10,-0.15,-0.08883292583537077,0.012044517336490666
ADS,All duplicates,Protein abundance,Bm10,-0.125,-0.08959168704156477,0.011680150458583635
ADS,All duplicates,Protein abundance,Bm10,-0.1,-0.09292665036674812,0.0060713264746316995
ADS,All duplicates,Protein abundance,Bm10,-0.075,-0.08753504482477582,0.010373721452348732
ADS,All duplicates,Protein abundance,Bm10,-0.05,-0.08836837815810916,0.011086768888363935
ADS,All duplicates,Protein abundance,Bm10,-0.01,-0.08905215973920123,0.0094821585437285
ADS,All duplicates,Protein abundance,Bm10,0.0,-0.08721882640586791,0.010727629694412266
ADS,All duplicates,Protein abundance,Bm2,-0.35,-0.09807457212713931,0.0036960456592305996
ADS,All duplicates,Protein abundance,Bm2,-0.25,-0.09325998370008143,0.006333958395451567
ADS,All duplicates,Protein abundance,Bm2,-0.175,-0.09083292583537077,0.007798840681379866
ADS,All duplicates,Protein abundance,Bm2,-0.15,-0.08242502037489806,0.0187686670599323
ADS,All duplicates,Protein abundance,Bm2,-0.125,-0.08595843520782391,0.012766720671788231
ADS,All duplicates,Protein abundance,Bm2,-0.1,-0.09262713936430313,0.0085501888023813
ADS,All duplicates,Protein abundance,Bm2,-0.075,-0.0827371638141809,0.019010564239110166
ADS,All duplicates,Protein abundance,Bm2,-0.05,-0.08531051344743273,0.013984025452478866
ADS,All duplicates,Protein abundance,Bm2,-0.01,-0.08496373268133654,0.015221614865648733
ADS,All duplicates,Protein abundance,Bm2,0.0,-0.09108883455582717,0.007324955254866566
ADS,All duplicates,Protein abundance,Bm3,-0.35,-0.09449959250203743,0.0044075045573366
ADS,All duplicates,Protein abundance,Bm3,-0.25,-0.08464832925835368,0.017166922300049865
ADS,All duplicates,Protein abundance,Bm3,-0.175,-0.09016625916870409,0.007912269168101999
ADS,All duplicates,Protein abundance,Bm3,-0.15,-0.09431662591687036,0.005768041111541433
ADS,All duplicates,Protein abundance,Bm3,-0.125,-0.08923879380603093,0.013592135113087331
ADS,All duplicates,Protein abundance,Bm3,-0.1,-0.09312876935615316,0.008076636140438834
ADS,All duplicates,Protein abundance,Bm3,-0.075,-0.0900541972290138,0.0092002663980532
ADS,All duplicates,Protein abundance,Bm3,-0.05,-0.0894258353708231,0.0086431988691531
ADS,All duplicates,Protein abundance,Bm3,-0.01,-0.09069763651181739,0.0077701208403079675
ADS,All duplicates,Protein abundance,Bm3,0.0,-0.09103422982885083,0.008962979087320667
ADS,All duplicates,Protein abundance,Bm4,-0.35,-0.0971662591687041,0.0033326730814380663
ADS,All duplicates,Protein abundance,Bm4,-0.25,-0.09336308068459653,0.006849438785044667
ADS,All duplicates,Protein abundance,Bm4,-0.175,-0.09199959250203744,0.0074219730750467
