Systematic Name,Half-life [min],R2
YGR035W-A,15,0.98
YER171W,15,0.98
YHR028C,15,0.98
YMR014W,15,0.98
YOR291W,15,0.98
YPR049C,15,0.98
YBL079W,15,0.98
YPL125W,15,0.98
YGR079W,15,0.98
YNL313C,15,0.98
YDL040C,15,0.98
YDL140C,15,0.98
YKL005C,15,0.98
YNR033W,15,0.98
YDR299W,15,0.98
YOL145C,15,0.98
YDR303C,15,0.98
YJL139C,15,0.98
YMR309C,15,0.98
YER036C,15,0.98
YLL018C-A,15,0.98
YKL010C,15,0.98
YPL257W,15,0.98
YIL083C,15,0.98
YNL250W,15,0.98
YMR095C,15,0.98
YLR274W,15,0.98
YLR138W,15,0.98
YHR073W,15,0.98
YMR238W,15,0.98
YDL122W,15,0.98
YLL019C,15,0.98
YJL207C,15,0.98
YOR165W,15,0.98
YGR095C,15,0.98
YBR102C,15,0.98
YNL221C,15,0.98
YBL008W,15,0.98
YGL099W,15,0.98
YKL080W,15,0.99
YGR054W,15,0.99
YLR003C,15,0.99
YPR159W,15,0.99
YDR325W,15,0.99
YMR092C,15,0.99
YJR151C,15,0.99
YBR235W,15,0.99
YMR218C,15,0.99
YJL020C,15,0.99
YKL126W,15,0.99
YDL007W,15,0.99
YJL130C,15,0.99
YGL233W,15,0.99
YDR283C,15,0.99
YDR435C,15,0.99
YDR170C,15,0.99
YCR042C,15,0.99
YHR187W,15,0.99
YNL138W,15,0.99
YMR211W,15,0.99
YNL115C,15,0.99
YFL002C,15,0.99
YNL101W,15,0.99
YLR266C,15,0.99
YOR259C,15,0.99
YNR053C,15,0.99
YPR172W,15,0.99
YLR427W,15,0.99
YDL111C,15,0.99
YIL038C,15,0.99
YLR243W,15,0.99
YNL085W,15,0.99
YER123W,15,0.99
YDR330W,15,0.99
YMR054W,15,0.99
YJL186W,15,0.99
YDR166C,15,0.99
YEL048C,15,0.99
YGL048C,15,0.99
YDR341C,15,0.99
YOR160W,15,0.99
YOR370C,15,0.99
YLR057W,15,0.99
YGL111W,15,0.99
YGR162W,15,0.99
YOR137C,15,0.99
YGR040W,15,0.99
YOR001W,15,0.99
YJL206C,15,0.99
YDR125C,15,0.99
YLR009W,15,0.99
YHR085W,15,0.99
YNL246W,15,0.99
YFL028C,15,0.99
YDR388W,15,0.99
YNL275W,15,0.99
YDL095W,15,0.99
YBR293W,15,0.99
YLR401C,15,0.99
YLR231C,15,0.99
YBR076W,15,0.99
YKL216W,15,0.99
YHR074W,15,0.99
YPL210C,15,0.99
YDR165W,15,0.99
YLR166C,15,0.99
YAL019W,15,0.99
YIL095W,15,0.99
YNR011C,15,0.99
YER078C,15,0.99
YPL029W,15,0.99
YGL049C,15,0.99
YNR038W,15,0.99
YCR083W,15,0.99
YBR274W,15,0.99
YBL020W,15,0.99
YNL091W,15,0.99
YLR074C,15,0.99
YGL223C,15,0.99
YCR088W,15,0.99
YEL058W,15,0.99
YOR127W,15,0.99
YDR539W,15,0.99
YIL142W,15,0.99
YMR212C,15,0.99
YGR260W,15,0.99
YER168C,15,0.99
YLR189C,15,0.99
YEL002C,15,0.99
YMR061W,15,0.99
YBL076C,15,0.99
YFR025C,15,0.99
YLR175W,15,0.99
YFL056C,15,0.99
YJL014W,15,0.99
YDR464W,15,0.99
YOL022C,15,0.99
YJR042W,15,0.99
YDL215C,15,0.99
YOR346W,15,0.99
YDL201W,15,0.99
YGR254W,15,0.99
YLR247C,15,0.99
YIL078W,15,0.99
YDR017C,15,0.99
YBR195C,15,0.99
YOR256C,15,0.99
YFR009W,15,0.99
YPR119W,15,0.99
YPR122W,15,0.99
YGR143W,15,0.99
YDL150W,15,0.99
YPR147C,15,0.99
YMR205C,15,0.99
YKL082C,15,0.99
YOR118W,15,0.99
YPR104C,15,0.99
YML010W,15,0.99
YJR003C,15,0.99
YOR168W,15,0.99
YCR008W,15,0.99
YLR248W,15,0.99
YHR183W,15,0.99
YJL129C,15,0.99
YCR028C,15,0.99
YDR160W,15,0.99
YOR361C,15,0.99
