;lm;lp;wRPF;wmRNA;bmEser;amEser;bm;m;bp;cv;apExp;am;isEssential;hasTATA;YEPDFit;pEst
COR1;3,137986733;2,660865478;2,109105864;2,085254891;1,538028604;0,405429207;1,635491386;0,930788186;2,94865394;-0,675408914;-0,844916278;0,704301506;FALSE;TRUE;0,178445;3,75095063
PSY4;3,122543524;2,645422269;1,448397103;1,396024897;1,232375021;0,995696238;0,946261391;0,241558191;2,992618383;-0,67111096;-0,193936645;0,704301506;FALSE;NA;-0,00712;3,105685078
EDE1;3,617629298;3,140508043;2,13081605;2,232055391;1,371868545;0,471822333;1,782291886;1,077588685;2,343921061;-0,745693668;-0,250255008;0,704301506;FALSE;FALSE;0,01259;3,293018251
SEC17;2,997823081;2,46686762;2,306875174;2,139469776;1,614058601;0,588668827;1,68970627;0,98500307;3,286206223;NA;NA;0,704301506;TRUE;FALSE;0,4200892;4,142717798
PIN4;3,302547372;2,825426118;1,891091226;1,98721923;1,474675964;0,596950982;1,537455725;0,832752524;2,664114324;-0,65130581;0,317946716;0,704301506;FALSE;FALSE;0,016175;3,368375353
SAS3;3,397244581;2,920123326;0,752816431;1,590730406;1,361981306;1,003800459;1,140966901;0,4362637;1,827631144;NA;0,773878671;0,704301506;FALSE;TRUE;-0,008305;2,135403349
TOD6;3,198106999;2,720985744;1,469085299;1,512284063;1,69669369;0,954165068;1,062520558;0,357817358;2,821483937;NA;0,363704206;0,704301506;FALSE;NA;-0,004525;3,050809799
PTC3;3,148294097;2,671172843;2,099577061;2,337179625;1,502706232;0,499934416;1,88741612;1,18271292;2,676893038;-0,796967113;-0,113417048;0,704301506;FALSE;FALSE;-0,00158;3,731114463
PTH2;2,797267541;2,320146286;1,931508722;2,016490132;1,526577019;0,355444272;1,566726626;0,862023426;3,180540749;NA;0,087497794;0,704301506;FALSE;NA;0,000375;3,91407268
SHP1;3,104487111;2,627365857;2,302806963;2,239224378;1,776377951;0,429506739;1,789460873;1,084757673;3,021885173;-0,713094647;-0,173414978;0,704301506;FALSE;TRUE;0,33019;3,97815135
YEL1;3,314709693;2,837588438;1,007320953;1,237040791;1,07851276;1,088464835;0,787277286;0,082574086;2,518360168;NA;0,276554031;0,704301506;FALSE;NA;-0,011895;2,472442759
SKT5;3,320354033;2,843232778;1,603252662;1,840294332;1,765569206;0,871250888;1,390530826;0,685827626;2,505393997;-0,676954265;0,618976711;0,704301506;FALSE;FALSE;-0,001575;3,062730128
KIP1;3,523226042;3,046104787;0,947433722;1,393048466;1,24735596;0,926518387;0,943284961;0,238581761;2,093948913;NA;NA;0,704301506;FALSE;TRUE;-0,016435;2,204039179
PRX1;2,895422546;2,418301291;2,12169113;2,065729059;1,363703005;0,327008937;1,615965554;0,911262354;3,223329225;-0,593289541;-0,44920915;0,704301506;FALSE;NA;-0,00495;4,006100083
SEF1;3,537441283;3,060320029;0,707570176;1,251151343;0,991472008;1,259648256;0,801387838;0,096684638;1,981767249;NA;NA;0,704301506;FALSE;TRUE;-0,00712;1,949960392
UBP13;3,351022853;2,873901598;1,336859821;1,855397997;0,968147485;0,475012502;1,405634491;0,700931291;2,193228671;NA;0,113826733;0,704301506;FALSE;FALSE;0,00916;2,765668467
PRS4;2,991669007;2,514547753;1,962179853;2,008174184;1,783850365;0,45290472;1,558410679;0,853707478;3,025126361;-0,771214799;-0,445481278;0,704301506;FALSE;FALSE;-0,01061;3,750342345
AST1;3,11058971;2,633468456;1,704493697;1,65069598;1,339442714;0,768143101;1,200932475;0,496229274;3,005997707;NA;0,840825461;0,704301506;FALSE;TRUE;-0,01509;3,373735486
AAR2;3,028571253;2,551449998;1,259593879;1,453624074;0,127366373;0,79772294;1,003860568;0,299157368;2,840188252;NA;-0,778963297;0,704301506;TRUE;FALSE;0,4200892;3,010854125
SSA3;3,290034611;2,812913357;-0,366531544;1,34084055;1,152574911;0,806729996;0,891077045;0,186373844;1,065382994;NA;-0,1518753;0,704301506;FALSE;TRUE;-0,03188;1,123265343
ILS1;3,507720977;3,030599722;2,685132404;2,895450172;1,841433443;0,22719312;2,445686667;1,740983466;2,344750955;-0,885389016;-0,325505961;0,704301506;TRUE;FALSE;0,4200892;3,957242926
ATG8;2,549003262;2,071882007;1,735439203;1,462697408;1,321414645;0,822987979;1,012933903;0,308230703;3,786528233;NA;-0,841921131;0,704301506;FALSE;NA;-0,010935;3,96626744
NUP170;3,654080235;3,176958981;1,534026106;2,011781831;1,535931037;0,556028844;1,562018325;0,857315125;1,93095374;NA;0,317946716;0,704301506;FALSE;FALSE;0,17818;2,65977737
PET112;3,211120541;2,733999287;0,935003151;1,219060332;1,247436073;1,120196897;0,769296827;0,064593627;2,567611977;NA;NA;0,704301506;FALSE;FALSE;0,05154;2,503714109
ALG3;3,13893394;2,661812686;1,486146997;1,740520586;1,513407246;0,454804847;1,290757081;0,586053881;2,66948217;NA;0,141855457;0,704301506;FALSE;NA;0,009325;3,127044556
BOI1;3,468790262;2,991669007;1,440594262;1,716670976;1,552382906;0,904356837;1,26690747;0,56220427;2,317922724;-0,622693749;1,141855457;0,704301506;FALSE;FALSE;-0,01039;2,751635499
TEL1;3,922414024;3,445292769;0,201397124;1,311753861;0,919584681;0,799908728;0,861990356;0,157287156;1,030018939;NA;NA;0,704301506;FALSE;TRUE;-0,00634;1,058814599
AVT5;3,139879086;2,662757832;1,256958153;1,408748606;1,354037158;0,791887515;0,958985101;0,254281901;2,77112016;NA;NA;0,704301506;FALSE;NA;0,004805;2,896910565
MRP21;2,727541257;2,250420002;1,925466801;1,824321125;1,427857453;0,89904142;1,37455762;0,669854419;3,436394119;NA;-0,200567224;0,704301506;FALSE;FALSE;0,234165;3,977757043
MAP2;3,102433706;2,625312451;2,25992819;2,237769874;1,431185509;-0,099647011;1,788006369;1,083303169;2,98251431;-0,652962866;0,062674211;0,704301506;FALSE;FALSE;-0,005315;3,937325984
RPL32;2,59439255;2,117271296;3,98149605;3,789990842;2,352150902;0,138782425;3,340227337;2,635524137;3,659902357;NA;NA;0,704301506;TRUE;FALSE;0,4200892;6,166934998
ROX3;2,821513528;2,344392274;1,929827481;1,884965198;1,630615857;0,755838274;1,435201693;0,730498493;3,286138454;NA;-0,4709284;0,704301506;FALSE;FALSE;0,316955;3,888145452
BRN1;3,355068206;2,877946952;1,263399331;1,433769834;0,362608578;0,920050174;0,984006329;0,279303128;2,537350991;NA;1,141855457;0,704301506;TRUE;TRUE;0,4200892;2,688162624
BNA4;3,14082218;2,663700925;1,494571984;1,583198774;1,10446401;0,251102566;1,133435269;0,428732068;2,83334073;NA;-0,624061337;0,704301506;FALSE;TRUE;-0,01156;3,133581303
ATP1;3,214313897;2,737192643;2,748412871;2,681449287;2,015183789;0,037053283;2,231685782;1,526982581;2,915439387;-0,631155493;-0,071219369;0,704301506;FALSE;FALSE;0,09323;4,313930473
ECM21;3,525563058;3,048441804;1,203304916;1,598790507;1,204229161;0,616121967;1,149027002;0,444323801;2,141741051;NA;-0,213532201;0,704301506;FALSE;FALSE;-0,01847;2,457573357
SFT2;2,811575006;2,334453751;1,980003372;2,062092893;1,468852164;0,388796383;1,612329387;0,907626187;3,169125173;-0,577820685;NA;0,704301506;TRUE;TRUE;-0,00221;3,948259865
RTG3;3,164650216;2,687528961;1,34084055;1,398113692;1,400496717;1,070024864;0,948350187;0,243646986;2,840866342;NA;0,062674211;0,704301506;FALSE;TRUE;NA;2,956021833
SEA4;3,493736802;3,016615548;1,065579715;1,522835314;1,310091694;0,946721875;1,073071808;0,368368608;2,111797299;-0,620060277;NA;0,704301506;FALSE;NA;0,00715;2,351674411
PKC1;3,538573734;3,061452479;1,410945859;1,762978491;1,321177324;0,823589855;1,313214986;0,608511785;2,172183334;-0,650431097;NA;0,704301506;TRUE;TRUE;0,4200892;2,652203624
SRO77;3,48187241;3,004751156;0,893761762;1,365300749;0,674757493;0,784617415;0,915537243;0,210834043;2,109378303;NA;NA;0,704301506;FALSE;TRUE;-0,01364;2,191720851
MIX23;2,771587481;2,294466226;1,624797579;1,69653112;1,504576913;0,841926579;1,246767615;0,542064414;3,219468678;NA;0,715886724;0,704301506;FALSE;NA;0,00201;3,633041597
NTH2;3,369772289;2,892651034;1,41564098;1,705264862;1,071779696;0,749108871;1,255501357;0,550798157;2,403393529;NA;0,156578714;0,704301506;FALSE;TRUE;-0,015175;2,82570019
RER2;2,935003151;2,457881897;1,605305046;1,72566666;1,808596084;1,011875337;1,275903155;0,571199955;3,007424934;-0,791827473;NA;0,704301506;TRUE;FALSE;0,4200892;3,450133394
