Duplication;ORF;HM.Stynen;list.Biogrid.HM.Pubmed.id;n.Biogrid.study;n.Biogrid.HM;HM.Biogrid;HM.Kim;HM.PCA;HM.final
S;YBR230C;NA;NA;"Affinity Capture-MS(22461620);Affinity Capture-Western(22461620)";2;1;NA;NA;1
S;YBR231C;NA;NA;"Affinity Capture-MS(14690608);Affinity Capture-MS(16554755)";2;0;0;NA;0
S;YBR232C;NA;NA;NA;NA;NA;0;NA;0
S;YBR233W-A;0;NA;"FRET(24930965);Reconstituted Complex(12925767)";2;1;1;NA;1
S;YBR235W;0;NA;NA;NA;NA;0;NA;0
S;YBR243C;NA;NA;"Affinity Capture-Western(19129246);PCA(18467557)";2;1;0;NA;1
S;YBR247C;NA;NA;"Affinity Capture-MS(12150911);Affinity Capture-Western(28244370)";2;2;NA;NA;1
S;YBR248C;NA;NA;NA;NA;NA;0;NA;0
S;YBR250W;0;NA;NA;NA;NA;0;NA;0
S;YBR252W;0;NA;Two-hybrid(18719252);1;1;0;NA;1
S;YBR253W;NA;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YBR254C;1;NA;"Affinity Capture-Western(21453443);Two-hybrid(11283351);Two-hybrid(17027922)";3;2;0;NA;1
S;YBR255C-A;0;NA;NA;NA;NA;NA;NA;0
S;YBR255W;0;NA;NA;NA;NA;0;NA;0
S;YBR256C;1;NA;"PCA(18467557);PCA(22615397)";2;2;0;NA;1
S;YBR257W;NA;NA;"Affinity Capture-MS(16554755);Affinity Capture-Western(17881380);Two-hybrid(11880623)";3;1;0;NA;1
S;YBR258C;0;NA;NA;NA;NA;0;NA;0
S;YBR259W;0;NA;NA;NA;NA;0;NA;0
S;YBR261C;0;NA;NA;NA;NA;0;NA;0
S;YBR262C;0;NA;Affinity Capture-Western(21944719);1;0;NA;NA;0
S;YBR266C;NA;NA;NA;NA;NA;0;NA;0
S;YBR268W;NA;NA;NA;NA;NA;0;NA;0
S;YBR269C;0;NA;NA;NA;NA;0;NA;0
S;YBR272C;0;NA;Affinity Capture-MS(19446322);1;1;0;NA;1
S;YBR277C;NA;NA;NA;NA;NA;0;NA;0
S;YBR279W;0;NA;"Affinity Capture-MS(14759368);Affinity Capture-MS(16554755);Affinity Capture-Western(9891041);Reconstituted Complex(28585565)";4;2;0;NA;1
S;YBR282W;NA;NA;NA;NA;NA;0;NA;0
S;YBR285W;0;NA;NA;NA;NA;0;NA;0
S;YBR290W;0;NA;NA;NA;NA;0;NA;0
S;YBR292C;NA;NA;NA;NA;NA;0;NA;0
S;YBR296C;0;NA;NA;NA;NA;0;NA;0
S;YBR298C-A;0;NA;NA;NA;NA;NA;NA;0
S;YBR300C;NA;NA;NA;NA;NA;0;NA;0
S;YCL001W;0;NA;PCA(27440402);1;0;0;NA;0
S;YCL002C;0;NA;NA;NA;NA;0;NA;0
S;YCL005W;0;NA;"Affinity Capture-Western(24434579);Two-hybrid(24434579)";2;0;0;NA;0
S;YCL007C;NA;NA;NA;NA;NA;0;NA;0
S;YCL008C;NA;NA;"PCA(17513562);Two-hybrid(15086794);Two-hybrid(22875988)";3;2;0;NA;1
S;YCL009C;0;NA;NA;NA;NA;1;NA;1
S;YCL010C;0;NA;"Affinity Capture-MS(12052880);Affinity Capture-MS(16554755);Affinity Capture-MS(21734642);Affinity Capture-MS(24307402)";4;2;1;NA;1
S;YCL016C;NA;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YCL017C;0;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YCL021W-A;NA;NA;NA;NA;NA;0;NA;0
S;YCL022C;NA;NA;NA;NA;NA;0;NA;0
S;YCL023C;NA;NA;NA;NA;NA;0;NA;0
S;YCL027C-A;NA;NA;NA;NA;NA;0;NA;0
S;YCL027W;0;NA;"PCA(16093310);Two-hybrid(19841731)";2;0;0;NA;0
S;YCL028W;0;NA;"Affinity Capture-Western(24771766);Co-crystal Structure(18268327);Co-crystal Structure(20107602);Reconstituted Complex(18480252);Reconstituted Complex(19345193);Reconstituted Complex(19706519);Reconstituted Complex(20107602);Reconstituted Complex(20224794);Reconstituted Complex(20442412);Reconstituted Complex(28027291);Two-hybrid(18719252)";11;11;0;NA;1
S;YCL030C;0;NA;NA;NA;NA;0;NA;0
S;YCL033C;0;NA;NA;NA;NA;0;NA;0
S;YCL034W;0;NA;NA;NA;NA;0;NA;0
S;YCL038C;0;NA;PCA(16093310);1;0;0;NA;0
S;YCL044C;0;NA;NA;NA;NA;0;NA;0
S;YCL045C;0;NA;NA;NA;NA;0;NA;0
