Duplication,ORF_P1,Gene_P1,ORF_P2,Gene_P2,Couple,bm_P1,bm_P2,Delta_bm,LogFold_bm,bp_P1,bp_P2,Delta_bp,LogFold_bp,Crick distance,bp/bm_P1,bp/bm_P2,cv_P1,cv_P2,pEst_P1,pEst_P2,Delta_pEst,LogFold_pEst
WGD,YDL204W,RTN2,YDR233C,Problem,YDL204W-YDR233C,0.727195475,2.219971659,,,2.274111085,3.19272101,,,,,,,-0.83164986,2.168111865,4.5794979730000005,,
WGD,YDL224C,WHI4,YNL197C,Problem,YDL224C-YNL197C,1.25618569,1.282469375,,,2.605630882,2.70152231,,,,,,-0.6471424379999999,-0.797784224,3.028621877,3.150796989,,
SSD,YDR023W,SES1,YHR011W,Problem,YDR023W-YHR011W,2.432299741,0.845803595,,,3.011295262,2.733915418,,,,,,-0.85870704,,4.610400308,2.746524317,,
SSD,YDR045C,RPC11,YGL070C,Problem,YDR045C-YGL070C,1.4184105359999999,1.54692325,,,3.7420244460000003,3.744441166,,,,,,,-0.834458923,4.3272402869999995,4.458169721,,
WGD,YDR066C,RTR2,YER139C,Problem,YDR066C-YER139C,0.640141606,0.937448295,,,3.3061255110000003,3.323873416,,,,,,,,3.1130724219999997,3.4281270160000004,,
WGD,YDR069C,DOA4,YER144C,Problem,YDR069C-YER144C,0.902032802,1.0141294840000001,,,2.2088004569999997,2.2004175409999998,,,,,,,,2.277638563,2.3813523290000003,,
SSD,YDR072C,IPT1,YKL004W,Problem,YDR072C-YKL004W,1.354307744,1.7198227680000002,,,2.647347042,2.612985306,,,,,,,-0.758578048,3.16846009,3.499613379,,
WGD,YDR093W,DNF2,YER166W,Problem,YDR093W-YER166W,1.4827609919999998,1.515955465,,,1.914447386,1.943587261,,,,,,-0.695401774,-0.689944262,2.564013683,2.626348031,,
WGD,YDR096W,GIS1,YER169W,Problem,YDR096W-YER169W,0.896393797,0.9402879909999999,,,2.369395378,2.378377314,,,,,,,,2.432594479,2.48547061,,
WGD,YDR107C,TMN2,YLR083C,Problem,YDR107C-YLR083C,1.038222826,1.7734727680000002,,,2.528064854,2.6133486280000002,,,,,,,-0.852014679,2.733092984,3.5536267,,
WGD,YDR122W,KIN1,YLR096W,Problem,YDR122W-YLR096W,1.333997191,1.2335537570000001,,,2.209127046,2.185620885,,,,,,-0.569199575,,2.709929541,2.585979946,,
WGD,YDR125C,ECM18,YLR099C,Problem,YDR125C-YLR099C,0.43729087299999997,1.315234094,,,2.508425834,2.679679863,,,,,,,,2.112522012,3.1617192610000004,,
WGD,YDR144C,MKC7,YLR120C,Problem,YDR144C-YLR120C,1.64144606,1.3842755130000002,,,2.62292959,2.785335283,,,,,,,,3.431180954,3.336416101,,
WGD,YDR146C,SWI5,YLR131C,Problem,YDR146C-YLR131C,1.269650654,1.02138146,,,2.678979391,2.484427254,,,,,,,,3.11543535,2.672614019,,
WGD,YDR147W,EKI1,YLR133W,Problem,YDR147W-YLR133W,1.111337878,1.137273613,,,2.635863437,2.87394083,,,,,,,-0.637046541,2.91400662,3.178019747,,
WGD,YDR151C,CTH1,YLR136C,Problem,YDR151C-YLR136C,1.240964039,1.380761009,,,3.075977413,3.194421403,,,,,,,,3.4837467560000004,3.741987716,,
SSD,YDR155C,CPR1,YML078W,Problem,YDR155C-YML078W,3.106166066,2.062159943,,,3.607979298,3.535946548,,,,,,-0.888233567,,5.880950668,4.764911796,,
WGD,YDR178W,SDH4,YLR164W,Problem,YDR178W-YLR164W,1.283514029,0.49422537,,,3.578150013,2.363182872,,,,,,,,4.0284693460000005,2.024213546,,
SSD,YDR182W,CDC1,YIL039W,Problem,YDR182W-YIL039W,1.428643382,1.633810774,,,2.793954087,2.787071915,,,,,,,,3.389402773,3.587687994,,
WGD,YDR185C,UPS3,YLR168C,Problem,YDR185C-YLR168C,0.4206404,1.219088143,,,3.347046413,2.88158442,,,,,,,-0.519131076,2.934492117,3.2674778680000003,,
SSD,YDR190C,RVB1,YPL235W,Problem,YDR190C-YPL235W,1.8082268819999998,1.689895231,,,2.99787991,3.0254057160000003,,,,,,-0.68329596,,3.9729120960000004,3.882106251,,
SSD,YDR191W,HST4,YOR025W,Problem,YDR191W-YOR025W,0.642606194,1.385102075,,,2.978920697,2.638098585,,,,,,,,2.7883321960000003,3.1900059639999996,,
SSD,YDR197W,CBS2,YHR063C,Problem,YDR197W-YHR063C,0.91478749,1.66886491,,,2.683515448,2.996868723,,,,,,,-0.540682917,2.7651082419999997,3.8325389380000003,,
WGD,YDR200C,VPS64,YLR238W,Problem,YDR200C-YLR238W,0.995373464,0.844040855,,,2.432860791,2.6774815519999997,,,,,,,,2.595039559,2.6883277110000003,,
WGD,YDR206W,EBS1,YLR233C,Problem,YDR206W-YLR233C,1.333711282,0.648187566,,,2.067704348,1.835743932,,,,,,,,2.568220935,1.650736803,,
WGD,YDR213W,UPC2,YLR228C,Problem,YDR213W-YLR228C,1.049786121,1.051021668,,,2.353059328,2.241540175,,,,,,,,2.569650753,2.459367147,,
SSD,YDR214W,AHA1,YNL281W,Problem,YDR214W-YNL281W,1.889985976,2.137902569,,,3.1346855010000003,3.402791674,,,,,,-0.7930392709999999,-0.850472986,4.191476782,4.707499548,,
SSD,YDR235W,PRP42,YML046W,Problem,YDR235W-YML046W,1.11419196,1.210057653,,,2.462275458,2.396019682,,,,,,,,2.743272723,2.7728826389999996,,
