Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Type,rho_fold,p-val_fold,rho_signed,p-val_signed,rho_ratio,p-val_ratio
Minimal,0.2,2.0,0,0,Bm2_iter2,20_percent,Mut_SD_SSD,All,0.8360977883036463,0.0,0.4039720815615116,1.2183900348855065e-195,0.7254348711415793,0.0
Minimal,0.2,2.0,0,0,Bm2_iter2,20_percent,Mut_SD_SSD,True duplicates,0.4150750830849533,5.409902626296738e-64,-0.1049583720914166,2.6717945786133447e-11,0.2144213988966159,3.5710088967792985e-17
Mixed,0.2,8.0,0,0,Bm8_iter3,20_percent,Mut_SD_SSD,All,0.785630780827766,0.0,0.3533910355976344,5.298282464977291e-147,0.9798760090681616,0.0
Mixed,0.2,8.0,0,0,Bm8_iter3,20_percent,Mut_SD_SSD,True duplicates,0.2060036480648271,8.439987688091729e-16,-0.1114246492210651,1.6248921754210705e-12,0.9394041171965304,0.0
No Cost,0.2,8.0,0,0,Bm8_iter3,20_percent,Mut_SD_SSD,All,0.8225288320206132,0.0,0.415726334543012,3.197121964100067e-208,0.9129760705561714,0.0
No Cost,0.2,8.0,0,0,Bm8_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3303449125287652,3.693454792435894e-38,-0.0931549666447865,4.555895919884142e-09,0.5812250236532572,1.9983339285301148e-131
ADS,0.2,8.0,0,0,Bm8_iter3,20_percent,Mut_SD_SSD,All,0.8155308178312586,0.0,0.39447307497688,7.735165415444784e-186,0.902518180626909,0.0
ADS,0.2,8.0,0,0,Bm8_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3852102471950818,4.8797771449036845e-54,-0.0885867532083242,2.0492688475495312e-08,0.5680642755967206,2.1090393775040676e-128
Minimal,0.2,8.0,0,0,Bm8_iter3,20_percent,Mut_SD_SSD,All,0.8219825381732061,0.0,0.3965637469550443,5.733979811055201e-188,0.9065731767317085,0.0
Minimal,0.2,8.0,0,0,Bm8_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3874608415906515,8.265130036684757e-55,-0.0742545681842055,2.607608578235319e-06,0.5990158458181365,1.7952521486158982e-146
Mixed,0.2,6.0,0,0,Bm6_iter3,20_percent,Mut_SD_SSD,All,0.7904678819948613,0.0,0.3814773967700981,6.1268896289707334e-173,0.9767650264264044,0.0
Mixed,0.2,6.0,0,0,Bm6_iter3,20_percent,Mut_SD_SSD,True duplicates,0.2387227910584831,5.854012360742175e-21,-0.0755507084058374,1.691418489968953e-06,0.9386900978229772,0.0
No Cost,0.2,6.0,0,0,Bm6_iter3,20_percent,Mut_SD_SSD,All,0.840061387017822,0.0,0.4334069312478289,4.0504456183955714e-228,0.9028671975147518,0.0
No Cost,0.2,6.0,0,0,Bm6_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3553915008140312,1.050023861075226e-43,-0.0990704757464035,4.944054521953874e-10,0.515399748463252,1.3824489159412371e-97
ADS,0.2,6.0,0,0,Bm6_iter3,20_percent,Mut_SD_SSD,All,0.8329276120524179,0.0,0.4047754535056551,1.745552801339519e-196,0.8963406180384991,0.0
ADS,0.2,6.0,0,0,Bm6_iter3,20_percent,Mut_SD_SSD,True duplicates,0.4248230691664219,7.179738536920658e-67,-0.0790491943870205,5.527516774320416e-07,0.5532024562019354,3.753349128249434e-121
Minimal,0.2,6.0,0,0,Bm6_iter3,20_percent,Mut_SD_SSD,All,0.821969099707056,0.0,0.4021491290403962,9.817004624401219e-194,0.888725768564123,0.0
Minimal,0.2,6.0,0,0,Bm6_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3733893583505023,1.2458394556394344e-50,-0.0955230919020245,1.4590698159796382e-09,0.5151383951017092,4.9040100955728456e-102
Mixed,0.2,7.0,0,0,Bm7_iter3,20_percent,Mut_SD_SSD,All,0.7828934592789535,0.0,0.3752427802638401,5.891581665832942e-167,0.9775141299062609,0.0
Mixed,0.2,7.0,0,0,Bm7_iter3,20_percent,Mut_SD_SSD,True duplicates,0.2105213219628778,2.392758813999151e-16,-0.089864699202146,1.3211269376675436e-08,0.9307052500693938,0.0
No Cost,0.2,7.0,0,0,Bm7_iter3,20_percent,Mut_SD_SSD,All,0.836330018484803,0.0,0.4273349790796963,3.7614169439340513e-221,0.903529975476796,0.0
No Cost,0.2,7.0,0,0,Bm7_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3732921115058113,6.1984191212564075e-49,-0.0883409237134032,2.755122441965613e-08,0.5267220911197997,8.327020573220903e-104
ADS,0.2,7.0,0,0,Bm7_iter3,20_percent,Mut_SD_SSD,All,0.8355107337781356,0.0,0.4048510406160563,1.4535073373267612e-196,0.8965118997299042,0.0
ADS,0.2,7.0,0,0,Bm7_iter3,20_percent,Mut_SD_SSD,True duplicates,0.4430999484382881,3.686473389102371e-73,-0.0669192082480895,2.27771867493172e-05,0.5538077519145564,2.622163474782448e-121
Minimal,0.2,7.0,0,0,Bm7_iter3,20_percent,Mut_SD_SSD,All,0.8217564005370243,0.0,0.4020888895005921,1.1343981353375744e-193,0.900645780199325,0.0
Minimal,0.2,7.0,0,0,Bm7_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3776661514958699,1.4044988575585966e-51,-0.0955374266325322,1.5064729996245102e-09,0.5600532236189312,1.9038526780539094e-123
Mixed,0.2,4.0,0,0,Bm4_iter3,20_percent,Mut_SD_SSD,All,0.7965863692458193,0.0,0.4117479521265845,6.602055320698322e-204,0.9716398444223752,0.0
Mixed,0.2,4.0,0,0,Bm4_iter3,20_percent,Mut_SD_SSD,True duplicates,0.2440879418805539,4.987840241142943e-22,-0.0478346839323368,0.0024219729698352,0.9329938064049708,0.0
No Cost,0.2,4.0,0,0,Bm4_iter3,20_percent,Mut_SD_SSD,All,0.8515175450108072,0.0,0.4468350863570286,4.818326156748423e-244,0.879677223372356,0.0
No Cost,0.2,4.0,0,0,Bm4_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3698412921401621,1.6165509749667938e-47,-0.0825757089108087,2.1888994366728957e-07,0.4161628752810324,6.513334447335515e-61
ADS,0.2,4.0,0,0,Bm4_iter3,20_percent,Mut_SD_SSD,All,0.837892174510748,0.0,0.4013151017658945,7.246250490465001e-193,0.8523214076674254,0.0
ADS,0.2,4.0,0,0,Bm4_iter3,20_percent,Mut_SD_SSD,True duplicates,0.4250747122749871,1.964410109191106e-67,-0.1049607139823166,2.6390405340552397e-11,0.419129096134023,2.0102747558770517e-65
Minimal,0.2,4.0,0,0,Bm4_iter3,20_percent,Mut_SD_SSD,All,0.8299284540685529,0.0,0.4057525603260623,1.6309819427484114e-197,0.8546888494542161,0.0
Minimal,0.2,4.0,0,0,Bm4_iter3,20_percent,Mut_SD_SSD,True duplicates,0.400880898668278,2.3866617941761858e-59,-0.0918630820179449,5.6441410620680815e-09,0.4150622255889715,6.60433487642534e-64
Mixed,0.2,0.5,0,0,Bm05_iter2,20_percent,Mut_SD_SSD,All,0.8049835635493703,0.0,0.4648372213860287,1.5093725791537042e-266,-0.5311696470991436,4.6792639498728434e-182
Mixed,0.2,0.5,0,0,Bm05_iter2,20_percent,Mut_SD_SSD,True duplicates,0.153497186532302,3.74537490281296e-09,-0.0124183142771151,0.434655656701072,0.911478874560481,0.0
No Cost,0.2,0.5,0,0,Bm05_iter2,20_percent,Mut_SD_SSD,All,0.8675097667055628,0.0,0.4545104149844155,1.7921985616146526e-253,-0.7756872734219639,0.0
No Cost,0.2,0.5,0,0,Bm05_iter2,20_percent,Mut_SD_SSD,True duplicates,0.3746914722881854,1.1481565400353066e-47,-0.0954492257889998,2.414104901691879e-09,0.1111320928877021,3.2254943522871005e-05
ADS,0.2,0.5,0,0,Bm05_iter2,20_percent,Mut_SD_SSD,All,0.8408550199128032,0.0,0.4199116077504205,7.97836475481832e-213,-0.7435133129461301,0.0
ADS,0.2,0.5,0,0,Bm05_iter2,20_percent,Mut_SD_SSD,True duplicates,0.4050240298088136,1.014294470047953e-59,-0.0978042288090819,6.133007389253876e-10,-0.2169173496454534,2.8424849832454785e-17
Minimal,0.2,0.5,0,0,Bm05_iter2,20_percent,Mut_SD_SSD,All,0.8429621810819491,0.0,0.4079745654178927,7.21863289744509e-200,-0.7264437337669976,0.0
Minimal,0.2,0.5,0,0,Bm05_iter2,20_percent,Mut_SD_SSD,True duplicates,0.4317314363959989,1.6134021949426716e-68,-0.1151599206873873,3.04055917515243e-13,-0.2000874059678901,6.945454650472122e-15
Mixed,0.2,5.0,0,0,Bm5_iter3,20_percent,Mut_SD_SSD,All,0.7960665345386456,0.0,0.3998348441551052,2.4818757990180622e-191,0.9722682082989136,0.0
Mixed,0.2,5.0,0,0,Bm5_iter3,20_percent,Mut_SD_SSD,True duplicates,0.2279049199857754,4.567231828945993e-19,-0.0704615596772979,8.282763924702194e-06,0.9265629936985436,0.0
No Cost,0.2,5.0,0,0,Bm5_iter3,20_percent,Mut_SD_SSD,All,0.8440440282950448,0.0,0.4433530054140942,7.612677914911241e-240,0.8955540561206492,0.0
No Cost,0.2,5.0,0,0,Bm5_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3623071338361537,2.0545021742620806e-45,-0.0861938358181982,6.384416765967979e-08,0.4759970710133803,2.0551009614921466e-81
ADS,0.2,5.0,0,0,Bm5_iter3,20_percent,Mut_SD_SSD,All,0.8301164105786257,0.0,0.4168887578133525,1.7097136972220832e-209,0.8776605848416937,0.0
ADS,0.2,5.0,0,0,Bm5_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3908961482088623,3.778790697741725e-55,-0.0850293999770951,7.831613342408907e-08,0.4659424631438341,1.5929720383275714e-80
Minimal,0.2,5.0,0,0,Bm5_iter3,20_percent,Mut_SD_SSD,All,0.8385748790039808,0.0,0.4021912125527736,8.873775627679585e-194,0.8780593573854972,0.0
Minimal,0.2,5.0,0,0,Bm5_iter3,20_percent,Mut_SD_SSD,True duplicates,0.4309083114194437,3.0879991669508968e-68,-0.113475404146651,6.71011991531279e-13,0.4664036807929005,3.9663173106176182e-81
Mixed,0.2,2.0,0,0,Bm2_iter3,20_percent,Mut_SD_SSD,All,0.803923549043768,0.0,0.4493236482925911,4.488167664098942e-247,0.9342275709164114,0.0
Mixed,0.2,2.0,0,0,Bm2_iter3,20_percent,Mut_SD_SSD,True duplicates,0.1808047136644836,3.232705586579029e-12,-0.0426305124679706,0.0072732955739611,0.9337286000030076,0.0
No Cost,0.2,2.0,0,0,Bm2_iter3,20_percent,Mut_SD_SSD,All,0.8607351162776188,0.0,0.4391351364772466,7.982244499807798e-235,0.8375166477946637,0.0
No Cost,0.2,2.0,0,0,Bm2_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3766004581948692,5.2394309169468525e-49,-0.106393613919099,2.4483935007190428e-11,0.2832978720836472,1.4005341737572931e-27
ADS,0.2,2.0,0,0,Bm2_iter3,20_percent,Mut_SD_SSD,All,0.8375011649121864,0.0,0.4143048946447589,1.1302250942346984e-206,0.7583349434775911,0.0
ADS,0.2,2.0,0,0,Bm2_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3855910561542475,4.0868164129861064e-54,-0.1004136274171092,2.0274500311725116e-10,0.2288556620856451,3.411940533628421e-19
Minimal,0.2,2.0,0,0,Bm2_iter3,20_percent,Mut_SD_SSD,All,0.8339376451100233,0.0,0.4010515003757319,1.3613715884308846e-192,0.7563334760213563,0.0
Minimal,0.2,2.0,0,0,Bm2_iter3,20_percent,Mut_SD_SSD,True duplicates,0.3836507059869384,1.1927757718572412e-53,-0.127622075000974,5.582374312660449e-16,0.2151542940655692,3.9782420025942817e-17
Mixed,0.2,8.0,0,0,Bm8_iter2,20_percent,Mut_SD_SSD,All,0.7951066050410569,0.0,0.3700475453565781,4.531084609107004e-162,0.9773931284149008,0.0
