Model,Run,Iter,Mut_alpha,pearson,r_pval,spearman,rho_pval
ADS,Bm7,iter3,-0.01,0.16080171299599483,4.693276148319387e-13,0.23068405417101354,1.4449265628833562e-25
ADS,Bm8,iter1,-0.01,0.15510729240101256,3.0691455702779284e-12,0.2468175767043942,3.8575898140407485e-29
ADS,Bm8,iter2,-0.01,0.19460585929737723,1.6104733334810404e-18,0.2715226848806712,3.877037844625248e-35
ADS,Bm8,iter3,-0.01,0.15746030322501242,1.4244275000310348e-12,0.2172790968197742,8.479930757669976e-23
ADS,Bm9,iter1,-0.01,0.15540210676101202,2.789499651954401e-12,0.23644487911121978,8.211161142948638e-27
ADS,Bm9,iter2,-0.01,0.20676697365085503,9.43090618109051e-21,0.2705120461280115,7.024382958445034e-35
ADS,Bm9,iter3,-0.01,0.1434279631970183,1.16653294068075e-10,0.2171955317988829,8.812280181144499e-23
ADS,Bm05,iter1,-0.05,0.23724498625477547,5.47969234958931e-27,0.3029509567377392,1.0030114695869147e-43
ADS,Bm05,iter2,-0.05,0.26369504373889435,3.621873977245964e-33,0.3505078461269615,6.812446615693705e-59
ADS,Bm05,iter3,-0.05,0.2423671061742649,3.9697139180422467e-28,0.3069483437370859,6.752490774687968e-45
ADS,Bm10,iter1,-0.05,0.23263547920109146,5.5174638611598e-26,0.3180035250008812,3.1063464651999695e-48
ADS,Bm10,iter2,-0.05,0.2156018118316363,1.8288691638304684e-22,0.28982125545531384,5.277440097145494e-40
ADS,Bm10,iter3,-0.05,0.17034586092493526,1.7273002815523827e-14,0.2495456888864222,9.027099812730868e-30
ADS,Bm1,iter1,-0.05,0.23196092092776693,7.703794621386926e-26,0.2948031872007968,2.1547159651702513e-41
ADS,Bm1,iter2,-0.05,0.2416342296594016,5.801259158314704e-28,0.30355792438948104,6.676558287974515e-44
ADS,Bm1,iter3,-0.05,0.22410243083481154,3.480623093616279e-24,0.2971429927857482,4.692307779883084e-42
ADS,Bm2,iter1,-0.05,0.22964848704236915,2.399703720405005e-25,0.31511581877895467,2.386304617874169e-47
ADS,Bm2,iter2,-0.05,0.26926272519314265,1.459323227233991e-34,0.3268653502163375,5.1676512114985736e-51
ADS,Bm2,iter3,-0.05,0.24919079190595542,1.0915459557564362e-29,0.3115000453750113,2.96951674784702e-46
ADS,Bm3,iter1,-0.05,0.22076465600730916,1.681929645099346e-23,0.30149739487434873,2.647775732302081e-43
ADS,Bm3,iter2,-0.05,0.26672051263020735,6.384551680875272e-34,0.3334015028503757,4.011864531060766e-53
ADS,Bm3,iter3,-0.05,0.20333700616630584,4.15651773710739e-20,0.26351969537992387,4.00241564143974e-33
ADS,Bm4,iter1,-0.05,0.23879588026644605,2.491283456105574e-27,0.31450040012510005,3.6742684448772314e-47
ADS,Bm4,iter2,-0.05,0.21886295110413612,4.0797417214541535e-23,0.28897249824312454,9.04274559543364e-40
ADS,Bm4,iter3,-0.05,0.2367802044936141,6.932179536868836e-27,0.31161593390398346,2.740487823698811e-46
ADS,Bm5,iter1,-0.05,0.2027741588687022,5.28861314652634e-20,0.27410750202687545,8.381785050497555e-36
ADS,Bm5,iter2,-0.05,0.229649291892979,2.3987601073268237e-25,0.3060656985164246,1.2296820837729977e-44
ADS,Bm5,iter3,-0.05,0.22982154959310688,2.2050317867001307e-25,0.2994533953633488,1.027128027358681e-42
ADS,Bm6,iter1,-0.05,0.21231610936843934,8.090822363626659e-22,0.29312887628221906,6.357959739198461e-41
ADS,Bm6,iter2,-0.05,0.19835872495917628,3.414546427255822e-19,0.270960283740071,5.398440522295527e-35
ADS,Bm6,iter3,-0.05,0.209680211312057,2.6205328857262675e-21,0.2736686664171666,1.088364212724707e-35
ADS,Bm7,iter1,-0.05,0.21809589291415113,5.818812722843586e-23,0.2977295364323841,3.194958641616746e-42
ADS,Bm7,iter2,-0.05,0.21601349242195234,1.515352759131352e-22,0.29235494358873587,1.045857616743949e-40
ADS,Bm7,iter3,-0.05,0.1797739579579216,5.46025909943239e-16,0.24213156203289046,4.485117410506493e-28
ADS,Bm8,iter1,-0.05,0.20656592930915849,1.029504167005307e-20,0.2907340536835134,2.9512253551500515e-40
ADS,Bm8,iter2,-0.05,0.2092675515437709,3.1454005515977665e-21,0.28415229353807336,1.8592218630974138e-38
ADS,Bm8,iter3,-0.05,0.18898429119418036,1.5511818701794717e-17,0.25971903042975764,3.4256056544321155e-32
ADS,Bm9,iter1,-0.05,0.20215568047715846,6.885545784249355e-20,0.28067706716926677,1.5850880978728801e-37
ADS,Bm9,iter2,-0.05,0.22987250096421297,2.150758478256167e-25,0.30808879402219846,3.1028985720488627e-45
ADS,Bm9,iter3,-0.05,0.18745320620398992,2.840173566616275e-17,0.2644904446226112,2.299877464755769e-33
ADS,Bm05,iter1,-0.075,0.30907029039785167,1.5846584300648173e-45,0.3832061488015372,5.791918552343756e-71
ADS,Bm05,iter2,-0.075,0.3005443124520876,4.988778081760049e-43,0.3741610175402544,1.749607772960745e-67
ADS,Bm05,iter3,-0.075,0.2910061042049739,2.480793971804441e-40,0.3330728647682162,5.136525679417724e-53
ADS,Bm10,iter1,-0.075,0.2536620182846818,9.75273567437261e-31,0.33132468633117157,1.902683747985801e-52
ADS,Bm10,iter2,-0.075,0.2405356686352234,1.0220278231148238e-27,0.32883480120870034,1.2104857784588747e-51
