Model,Comparison,Property,Run,Mut_corr,KS stats,KS p-value
ADS,All duplicates,Divergence ratio,Bm8,0.3,-0.21708353708231454,3.012405140149591e-14
ADS,All duplicates,Divergence ratio,Bm8,0.4,-0.22265851670741643,5.884182030513329e-15
ADS,All duplicates,Divergence ratio,Bm8,0.5,-0.22776854115729417,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm8,0.6,-0.2354535452322738,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm8,0.7,-0.2435651996740016,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm9,-0.4,-0.22902689486552563,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm9,-0.3,-0.22676854115729417,1.6653345369377348e-15
ADS,All duplicates,Divergence ratio,Bm9,-0.2,-0.22547188264058673,2.331468351712829e-15
ADS,All duplicates,Divergence ratio,Bm9,-0.1,-0.219341890790546,1.8281672472160913e-14
ADS,All duplicates,Divergence ratio,Bm9,0.0,-0.22171189894050528,9.140836236080455e-15
ADS,All duplicates,Divergence ratio,Bm9,0.1,-0.22641850040749792,1.6653345369377348e-15
ADS,All duplicates,Divergence ratio,Bm9,0.2,-0.229400162999185,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm9,0.3,-0.2272118989405053,2.331468351712829e-15
ADS,All duplicates,Divergence ratio,Bm9,0.4,-0.23036185819070898,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm9,0.5,-0.23697351263243682,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm9,0.6,-0.23585859820700894,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm9,0.7,-0.24576854115729416,9.992007221626409e-16
ADS,All duplicates,Protein abundance,Bm05,-0.4,-0.12050040749796247,9.581611096196153e-05
ADS,All duplicates,Protein abundance,Bm05,-0.3,-0.1273785656071719,6.389139009016643e-05
ADS,All duplicates,Protein abundance,Bm05,-0.2,-0.12399185004074975,5.915662800642404e-05
ADS,All duplicates,Protein abundance,Bm05,-0.1,-0.11668500407497957,0.00023788437595828355
ADS,All duplicates,Protein abundance,Bm05,0.0,-0.12205704971475136,8.188613514678693e-05
ADS,All duplicates,Protein abundance,Bm05,0.1,-0.11654523227383862,0.00023970032337233696
ADS,All duplicates,Protein abundance,Bm05,0.2,-0.11513365933170329,0.00029500458458237634
ADS,All duplicates,Protein abundance,Bm05,0.3,-0.1214303178484107,0.00010320563813192783
ADS,All duplicates,Protein abundance,Bm05,0.4,-0.12440179299103503,6.872944382831248e-05
ADS,All duplicates,Protein abundance,Bm05,0.5,-0.1220183374083129,0.0001600910735349678
ADS,All duplicates,Protein abundance,Bm05,0.6,-0.12362184189079051,0.00012348642267110026
ADS,All duplicates,Protein abundance,Bm05,0.7,-0.11645150774246127,0.00018998433782106664
ADS,All duplicates,Protein abundance,Bm1,-0.4,-0.11562795436022817,0.0003254530726977578
ADS,All duplicates,Protein abundance,Bm1,-0.3,-0.10620456397718009,0.0019669565846281334
ADS,All duplicates,Protein abundance,Bm1,-0.2,-0.11313651181744089,0.000542854637046873
ADS,All duplicates,Protein abundance,Bm1,-0.1,-0.11282518337408311,0.00045724917768183334
ADS,All duplicates,Protein abundance,Bm1,0.0,-0.12023512632436835,0.00013266334370030225
ADS,All duplicates,Protein abundance,Bm1,0.1,-0.11204360228198856,0.00038775573813050007
ADS,All duplicates,Protein abundance,Bm1,0.2,-0.11373512632436837,0.0003058427345857667
ADS,All duplicates,Protein abundance,Bm1,0.3,-0.1146063569682151,0.0003496061125632558
ADS,All duplicates,Protein abundance,Bm1,0.4,-0.1159331703341483,0.00020825869038153334
ADS,All duplicates,Protein abundance,Bm1,0.5,-0.11486837815810917,0.0003205077042962911
ADS,All duplicates,Protein abundance,Bm1,0.6,-0.12285859820700894,8.483797943884088e-05
ADS,All duplicates,Protein abundance,Bm1,0.7,-0.1147281988590057,0.0003049955701893708
ADS,All duplicates,Protein abundance,Bm10,-0.4,-0.11553178484107578,0.00031871539897116493
ADS,All duplicates,Protein abundance,Bm10,-0.3,-0.11434800325998366,0.0005234091849488648
ADS,All duplicates,Protein abundance,Bm10,-0.2,-0.11802648736756312,0.00023885666935705434
ADS,All duplicates,Protein abundance,Bm10,-0.1,-0.12290179299103504,0.0001630870646167547
ADS,All duplicates,Protein abundance,Bm10,0.0,-0.11293317033414829,0.0003215668403403667
ADS,All duplicates,Protein abundance,Bm10,0.1,-0.11396984515077424,0.0005530519050706148
ADS,All duplicates,Protein abundance,Bm10,0.2,-0.11622656886715564,0.00023006068807410366
ADS,All duplicates,Protein abundance,Bm10,0.3,-0.1048932355338223,0.0012744527114946
